INDEX,rubro,articulo,cantidad,final,costo,neto,margen,IVA,ganancia
198,almacen,cafe saquito la virginia puro aroma 7gr,113.0,4520,2916.1290322580644,3735.537190082645,55,0.21,1604.0
199,almacen,caldo de carne Knorr,2.0,40,25.806451612903224,33.057851239669425,55,0.21,14.0
200,almacen,CALDO GALLINA Knorr,12.0,360,232.25806451612902,297.5206611570248,55,0.21,128.0
201,almacen,CALDO GALLINA Knorr tableta,1.0,110,70.96774193548387,90.9090909090909,55,0.21,39.0
202,almacen,Caldo Gallina x 2,1.0,5,3.225806451612903,4.132231404958678,55,0.21,2.0
203,almacen,caldo knorr verdura x6 cubos 57g,4.0,600,387.09677419354836,495.86776859504135,55,0.21,213.0
204,almacen,Caldo Maggi carne,1.0,150,96.77419354838709,123.96694214876034,55,0.21,53.0
205,almacen,Caldo Maggi Gallina,2.0,300,193.54838709677418,247.93388429752068,55,0.21,106.0
206,almacen,Caldo Maggi verdura,1.0,200,129.03225806451613,165.28925619834712,55,0.21,71.0
207,almacen,Cappuccino La Virginia x Sobre de 12.5 g,49.0,3600,2322.5806451612902,2975.2066115702482,55,0.21,1277.0
208,almacen,cappucciono la virginia,49.0,3500,2258.064516129032,2892.5619834710747,55,0.21,1242.0
209,almacen,Capuccino Light Sobre la virginia,15.0,810,522.5806451612904,669.4214876033058,55,0.21,287.0
210,almacen,Carbon Loeones,104.0,36030,23245.16129032258,29776.859504132233,55,0.21,12785.0
211,almacen,cartabella papel higiénico,29.0,9470,6109.677419354838,7826.446280991736,55,0.21,3360.0
212,almacen,champignones bahia trozos al natural  114g,1.0,140,90.32258064516128,115.70247933884298,55,0.21,50.0
213,almacen,Choclo cremoso Arcor,1.0,205,132.25806451612902,169.4214876033058,55,0.21,73.0
214,almacen,Choclo en granos Arcor,8.0,1900,1225.8064516129032,1570.2479338842975,55,0.21,674.0
215,almacen,Chuker liquido 200cc,4.0,600,387.09677419354836,495.86776859504135,55,0.21,213.0
216,almacen,Cif Crema multiuso limon 750g,4.0,1400,903.2258064516129,1157.0247933884298,55,0.21,497.0
217,almacen,Cif detergente active gel,1.0,110,70.96774193548387,90.9090909090909,55,0.21,39.0
218,almacen,Clight en polvo Naranja -Mango,14.0,560,361.2903225806451,462.8099173553719,55,0.21,199.0
219,almacen,Clight manzana,24.0,990,638.7096774193549,818.1818181818182,55,0.21,351.0
220,almacen,Clight naranja,9.0,400,258.06451612903226,330.57851239669424,55,0.21,142.0
221,almacen,Clight naranja dulce,41.0,1780,1148.3870967741934,1471.0743801652893,55,0.21,632.0
222,almacen,cocinerito,11.0,5775,3725.806451612903,4772.727272727273,55,0.21,2049.0
223,almacen,condimento para arroz  La canasta,1.0,50,32.25806451612903,41.32231404958678,55,0.21,18.0
224,almacen,condimento para pizza 25g,1.0,45,29.032258064516128,37.1900826446281,55,0.21,16.0
225,almacen,crowie snacks jamon serrano 50g,3.0,420,270.96774193548384,347.10743801652893,55,0.21,149.0
226,almacen,crowie snacks queso 50g,5.0,700,451.61290322580646,578.5123966942149,55,0.21,248.0
227,almacen,dulce de leche san ignacio tradicional 200g,6.0,960,619.3548387096774,793.3884297520661,55,0.21,341.0
228,almacen,Dulce de Leche Tonadita,8.0,1950,1258.0645161290322,1611.5702479338843,55,0.21,692.0
229,almacen,dulce de leche Tonadita 250g,6.0,840,541.9354838709677,694.2148760330579,55,0.21,298.0
230,almacen,dulce de leche tregar clasico 400g,7.0,1490,961.2903225806451,1231.404958677686,55,0.21,529.0
231,almacen,Durazno Lata bahia 820g,1.0,280,180.64516129032256,231.40495867768595,55,0.21,99.0
232,almacen,Edulcorante Si Diet 250 ml,23.0,5840,3767.7419354838707,4826.446280991736,55,0.21,2072.0
233,almacen,EliteX6,5.0,600,387.09677419354836,495.86776859504135,55,0.21,213.0
234,almacen,equal sweet stevia,2.0,260,167.74193548387098,214.87603305785126,55,0.21,92.0
235,almacen,escarbadientes el coloso,4.0,240,154.83870967741936,198.34710743801654,55,0.21,85.0
236,almacen,esponja,1.0,50,32.25806451612903,41.32231404958678,55,0.21,18.0
237,almacen,Esponja amarilla virulana,2.0,100,64.51612903225806,82.64462809917356,55,0.21,35.0
238,almacen,esponja inoxidable DE,6.0,450,290.3225806451613,371.90082644628103,55,0.21,160.0
239,almacen,fideos mostacholes terrabusi x 500 grs,12.0,1260,812.9032258064516,1041.3223140495868,55,0.21,447.0
240,almacen,fideos Tallarines terrabusi,5.0,650,419.3548387096774,537.1900826446281,55,0.21,231.0
